,Localidad,Fecha,Soles
110,AMAZONAS,2020-02-08,14451.23
111,AMAZONAS,2020-02-10,9854.85
112,AMAZONAS,2020-02-11,27111.37
113,AMAZONAS,2020-02-12,5891.83
114,AMAZONAS,2020-02-13,3833.08
115,AMAZONAS,2020-02-14,16245.14
116,AMAZONAS,2020-02-15,1131.08
117,AMAZONAS,2020-02-17,4052.91
118,AMAZONAS,2020-02-18,15357.87
119,AMAZONAS,2020-02-19,14223.85
120,AMAZONAS,2020-02-20,10817.45
121,AMAZONAS,2020-02-21,11432.59
122,AMAZONAS,2020-02-22,5005.1
123,AMAZONAS,2020-02-24,112929.2
124,AMAZONAS,2020-02-25,99065.76
125,AMAZONAS,2020-02-26,126034.66
126,AMAZONAS,2020-02-27,59645.33
127,AMAZONAS,2020-02-28,87965.18
128,AMAZONAS,2020-02-29,135606.5
129,AMAZONAS,2020-03-01,470.35
130,AMAZONAS,2020-03-02,21764.89
131,AMAZONAS,2020-03-03,22538.53
132,AMAZONAS,2020-03-04,30108.32
133,AMAZONAS,2020-03-05,37202.63
134,AMAZONAS,2020-03-06,48897.82
135,AMAZONAS,2020-03-07,12439.48
136,AMAZONAS,2020-03-09,19684.57
137,AMAZONAS,2020-03-10,29617.98
138,AMAZONAS,2020-03-11,18191.65
139,AMAZONAS,2020-03-12,3576.57
140,AMAZONAS,2020-03-13,35864.59
141,AMAZONAS,2020-03-14,12565.98
142,AMAZONAS,2020-03-16,18649.95
143,AMAZONAS,2020-03-17,137545.68
144,AMAZONAS,2020-03-18,22077.83
145,AMAZONAS,2020-03-19,99707.94
146,AMAZONAS,2020-03-20,117725.48
147,AMAZONAS,2020-03-21,64722.86
148,AMAZONAS,2020-03-23,80916.77
149,AMAZONAS,2020-03-24,73345.21
150,AMAZONAS,2020-03-25,50419.0
151,AMAZONAS,2020-03-26,24338.78
152,AMAZONAS,2020-03-27,101720.17
153,AMAZONAS,2020-03-28,18052.6
154,AMAZONAS,2020-03-30,41487.63
155,AMAZONAS,2020-03-31,26001.35
156,AMAZONAS,2020-04-01,7989.45
157,AMAZONAS,2020-04-02,33705.08
158,AMAZONAS,2020-04-03,11827.27
159,AMAZONAS,2020-04-04,39802.54
160,AMAZONAS,2020-04-05,9086.86
161,AMAZONAS,2020-04-06,13861.07
162,AMAZONAS,2020-04-07,18647.08
163,AMAZONAS,2020-04-08,24588.65
164,AMAZONAS,2020-04-10,3097.08
165,AMAZONAS,2020-04-11,25004.3
166,AMAZONAS,2020-04-12,18594.98
167,AMAZONAS,2020-04-13,35203.54
168,AMAZONAS,2020-04-14,78548.96
169,AMAZONAS,2020-04-15,21332.31
170,AMAZONAS,2020-04-16,74143.66
171,AMAZONAS,2020-04-17,12643.08
172,AMAZONAS,2020-04-18,11064.78
173,AMAZONAS,2020-04-19,30688.05
174,AMAZONAS,2020-04-20,75934.53
175,AMAZONAS,2020-04-21,38987.72
176,AMAZONAS,2020-04-22,78790.02
177,AMAZONAS,2020-04-23,34544.3
178,AMAZONAS,2020-04-24,40435.89
179,AMAZONAS,2020-04-25,73095.37
180,AMAZONAS,2020-04-27,3990.66
181,AMAZONAS,2020-04-28,57047.9
182,AMAZONAS,2020-04-29,77859.79
183,AMAZONAS,2020-04-30,88242.32
184,AMAZONAS,2020-05-01,31140.92
185,AMAZONAS,2020-05-02,18458.36
186,AMAZONAS,2020-05-04,88292.11
187,AMAZONAS,2020-05-05,44627.59
188,AMAZONAS,2020-05-06,61451.29
189,AMAZONAS,2020-05-07,56909.91
190,AMAZONAS,2020-05-08,61235.07
191,AMAZONAS,2020-05-09,27737.56
192,AMAZONAS,2020-05-10,36615.5
193,AMAZONAS,2020-05-11,64690.31
194,AMAZONAS,2020-05-12,44291.35
195,AMAZONAS,2020-05-13,43947.07
196,AMAZONAS,2020-05-14,34958.84
197,AMAZONAS,2020-05-15,54088.82
198,AMAZONAS,2020-05-16,26999.9
199,AMAZONAS,2020-05-17,46480.36
200,AMAZONAS,2020-05-18,66070.53
201,AMAZONAS,2020-05-19,43005.24
202,AMAZONAS,2020-05-20,56049.47
203,AMAZONAS,2020-05-21,49692.75
204,AMAZONAS,2020-05-22,44751.64
205,AMAZONAS,2020-05-23,58545.06
206,AMAZONAS,2020-05-24,26275.46
207,AMAZONAS,2020-05-25,38462.61
208,AMAZONAS,2020-05-26,32018.42
209,AMAZONAS,2020-05-27,45044.01
210,AMAZONAS,2020-05-28,22903.94
211,AMAZONAS,2020-05-29,74747.28
212,AMAZONAS,2020-05-30,68893.03
213,AMAZONAS,2020-06-01,513.71
214,AMAZONAS,2020-06-02,9922.53
215,AMAZONAS,2020-06-03,41062.44
216,AMAZONAS,2020-06-04,27377.08
217,AMAZONAS,2020-06-05,30742.76
218,AMAZONAS,2020-06-06,8337.5
219,AMAZONAS,2020-06-08,27164.21
220,AMAZONAS,2020-06-09,54456.87
221,AMAZONAS,2020-06-10,48446.45
222,AMAZONAS,2020-06-11,45289.6
223,AMAZONAS,2020-06-12,34671.72
224,AMAZONAS,2020-06-13,33259.68
225,AMAZONAS,2020-06-15,54624.42
226,AMAZONAS,2020-06-16,48406.55
227,AMAZONAS,2020-06-17,25573.75
228,AMAZONAS,2020-06-18,28331.53
229,AMAZONAS,2020-06-19,42283.27
230,AMAZONAS,2020-06-20,48334.2
231,AMAZONAS,2020-06-22,49864.87
232,AMAZONAS,2020-06-23,45822.72
233,AMAZONAS,2020-06-24,30009.75
234,AMAZONAS,2020-06-25,2804.02
235,AMAZONAS,2020-06-26,28499.24
236,AMAZONAS,2020-06-27,6299.41
237,AMAZONAS,2020-06-29,28689.09
238,AMAZONAS,2020-06-30,34561.88
239,AMAZONAS,2020-07-01,2869.07
240,AMAZONAS,2020-07-02,23995.43
241,AMAZONAS,2020-07-03,56469.88
242,AMAZONAS,2020-07-04,27626.43
243,AMAZONAS,2020-07-05,9884.2
244,AMAZONAS,2020-07-06,34634.8
245,AMAZONAS,2020-07-07,69129.27
246,AMAZONAS,2020-07-08,29559.86
247,AMAZONAS,2020-07-09,48009.93
248,AMAZONAS,2020-07-10,40346.22
249,AMAZONAS,2020-07-11,36424.19
250,AMAZONAS,2020-07-13,23011.13
251,AMAZONAS,2020-07-14,43320.0
252,AMAZONAS,2020-07-15,30390.89
253,AMAZONAS,2020-07-16,12738.45
254,AMAZONAS,2020-07-17,30769.3
255,AMAZONAS,2020-07-18,22795.96
256,AMAZONAS,2020-07-20,39085.73
257,AMAZONAS,2020-07-21,74340.14
258,AMAZONAS,2020-07-22,5220.02
259,AMAZONAS,2020-07-23,30515.2
260,AMAZONAS,2020-07-24,33593.01
261,AMAZONAS,2020-07-25,53534.19
262,AMAZONAS,2020-07-26,38986.52
263,AMAZONAS,2020-07-27,69005.08
264,AMAZONAS,2020-07-28,55383.44
265,AMAZONAS,2020-07-29,29281.05
266,AMAZONAS,2020-07-30,36735.51
267,AMAZONAS,2020-07-31,1400.15
268,AMAZONAS,2020-08-01,3645.72
269,AMAZONAS,2020-08-02,10511.88
270,AMAZONAS,2020-08-03,32530.08
271,AMAZONAS,2020-08-04,58971.1
272,AMAZONAS,2020-08-05,22862.25
273,AMAZONAS,2020-08-06,58100.14
274,AMAZONAS,2020-08-07,32894.65
275,AMAZONAS,2020-08-08,21769.73
276,AMAZONAS,2020-08-10,35959.09
277,AMAZONAS,2020-08-11,33789.12
278,AMAZONAS,2020-08-12,44531.3
279,AMAZONAS,2020-08-13,39165.33
280,AMAZONAS,2020-08-14,3672.9
281,AMAZONAS,2020-08-15,43748.07
282,AMAZONAS,2020-08-17,28802.55
283,AMAZONAS,2020-08-18,32925.07
284,AMAZONAS,2020-08-19,39921.74
285,AMAZONAS,2020-08-20,48275.14
286,AMAZONAS,2020-08-21,719.54
287,AMAZONAS,2020-08-22,10170.91
288,AMAZONAS,2020-08-24,40496.4
289,AMAZONAS,2020-08-25,75416.17
290,AMAZONAS,2020-08-26,66062.54
291,AMAZONAS,2020-08-27,58917.5
292,AMAZONAS,2020-08-28,55294.04
293,AMAZONAS,2020-08-29,87867.82
294,AMAZONAS,2020-08-30,53847.93
295,AMAZONAS,2020-08-31,62382.69
296,AMAZONAS,2020-09-01,14389.78
297,AMAZONAS,2020-09-02,55876.6
298,AMAZONAS,2020-09-03,16623.36
299,AMAZONAS,2020-09-04,10690.54
300,AMAZONAS,2020-09-05,13949.61
301,AMAZONAS,2020-09-07,18207.28
302,AMAZONAS,2020-09-08,44478.9
303,AMAZONAS,2020-09-09,43502.57
304,AMAZONAS,2020-09-10,30270.12
305,AMAZONAS,2020-09-11,39591.84
306,AMAZONAS,2020-09-12,19141.65
307,AMAZONAS,2020-09-14,57736.34
308,AMAZONAS,2020-09-15,44295.73
309,AMAZONAS,2020-09-16,35190.09
310,AMAZONAS,2020-09-17,36742.26
311,AMAZONAS,2020-09-18,40655.63
312,AMAZONAS,2020-09-19,15466.14
313,AMAZONAS,2020-09-20,27141.62
314,AMAZONAS,2020-09-21,36888.31
315,AMAZONAS,2020-09-22,37160.86
316,AMAZONAS,2020-09-23,36360.54
317,AMAZONAS,2020-09-24,38166.02
318,AMAZONAS,2020-09-25,38942.96
319,AMAZONAS,2020-09-26,29355.25
320,AMAZONAS,2020-09-28,51523.67
321,AMAZONAS,2020-09-29,43173.24
322,AMAZONAS,2020-09-30,68015.94
323,AMAZONAS,2020-10-01,40193.31
324,AMAZONAS,2020-10-02,13364.38
325,AMAZONAS,2020-10-03,22682.93
326,AMAZONAS,2020-10-05,19973.24
327,AMAZONAS,2020-10-06,25451.37
328,AMAZONAS,2020-10-07,32762.31
329,AMAZONAS,2020-10-08,17528.54
330,AMAZONAS,2020-10-09,22880.84
331,AMAZONAS,2020-10-10,13009.27
332,AMAZONAS,2020-10-11,3891.92
333,AMAZONAS,2020-10-12,35364.49
334,AMAZONAS,2020-10-13,40864.77
335,AMAZONAS,2020-10-14,37179.96
336,AMAZONAS,2020-10-15,20901.92
337,AMAZONAS,2020-10-16,1475.61
338,AMAZONAS,2020-10-17,46439.85
339,AMAZONAS,2020-10-19,40940.05
340,AMAZONAS,2020-10-20,35646.55
341,AMAZONAS,2020-10-21,13582.6
342,AMAZONAS,2020-10-22,15122.01
343,AMAZONAS,2020-10-23,38027.36
344,AMAZONAS,2020-10-24,2924.73
345,AMAZONAS,2020-10-26,4812.68
346,AMAZONAS,2020-10-27,44828.36
347,AMAZONAS,2020-10-28,28389.49
348,AMAZONAS,2020-10-29,26254.14
349,AMAZONAS,2020-10-30,37924.71
350,AMAZONAS,2020-10-31,70823.48
351,AMAZONAS,2020-11-01,127.12
352,AMAZONAS,2020-11-02,20435.14
353,AMAZONAS,2020-11-03,58277.66
354,AMAZONAS,2020-11-04,15905.01
355,AMAZONAS,2020-11-05,31279.19
356,AMAZONAS,2020-11-06,26961.54
357,AMAZONAS,2020-11-07,52099.08
358,AMAZONAS,2020-11-09,26299.26
359,AMAZONAS,2020-11-10,24211.43
360,AMAZONAS,2020-11-11,17153.38
361,AMAZONAS,2020-11-12,14077.15
362,AMAZONAS,2020-11-13,37603.74
363,AMAZONAS,2020-11-14,13390.12
364,AMAZONAS,2020-11-16,35696.52
365,AMAZONAS,2020-11-17,31992.67
366,AMAZONAS,2020-11-18,24287.0
367,AMAZONAS,2020-11-19,40921.62
368,AMAZONAS,2020-11-20,34172.42
369,AMAZONAS,2020-11-21,42976.97
370,AMAZONAS,2020-11-23,34377.64
371,AMAZONAS,2020-11-24,38264.83
372,AMAZONAS,2020-11-25,27268.15
373,AMAZONAS,2020-11-26,21412.55
374,AMAZONAS,2020-11-27,28293.77
375,AMAZONAS,2020-11-28,23039.78
376,AMAZONAS,2020-11-29,12282.72
377,AMAZONAS,2020-11-30,21164.56
378,AMAZONAS,2020-12-01,7911.77
379,AMAZONAS,2020-12-02,27789.74
380,AMAZONAS,2020-12-03,11833.56
381,AMAZONAS,2020-12-04,4669.05
382,AMAZONAS,2020-12-05,2114.41
383,AMAZONAS,2020-12-07,16485.64
384,AMAZONAS,2020-12-08,19391.41
385,AMAZONAS,2020-12-09,3813.82
386,AMAZONAS,2020-12-10,40827.63
387,AMAZONAS,2020-12-11,69945.02
388,AMAZONAS,2020-12-12,2372.7
389,AMAZONAS,2020-12-13,33354.08
390,AMAZONAS,2020-12-14,35154.17
391,AMAZONAS,2020-12-15,34244.29
392,AMAZONAS,2020-12-16,37788.16
393,AMAZONAS,2020-12-17,12929.63
394,AMAZONAS,2020-12-18,58772.94
395,AMAZONAS,2020-12-19,59531.17
396,AMAZONAS,2020-12-21,27663.17
397,AMAZONAS,2020-12-22,49572.91
398,AMAZONAS,2020-12-23,39676.82
399,AMAZONAS,2020-12-26,14938.54
400,AMAZONAS,2020-12-28,63294.6
401,AMAZONAS,2020-12-29,31082.71
402,AMAZONAS,2020-12-30,2975.0
403,AMAZONAS,2020-12-31,3526.98
404,AMAZONAS,2021-01-04,43219.06
405,AMAZONAS,2021-01-05,46920.88
406,AMAZONAS,2021-01-06,43397.34
407,AMAZONAS,2021-01-07,26291.34
408,AMAZONAS,2021-01-08,34271.04
409,AMAZONAS,2021-01-09,43862.18
410,AMAZONAS,2021-01-11,41817.45
411,AMAZONAS,2021-01-12,52652.65
412,AMAZONAS,2021-01-13,68838.15
413,AMAZONAS,2021-01-14,19593.91
414,AMAZONAS,2021-01-15,23843.09
415,AMAZONAS,2021-01-16,4674.89
416,AMAZONAS,2021-01-18,38514.73
417,AMAZONAS,2021-01-19,25034.97
418,AMAZONAS,2021-01-20,24357.28
419,AMAZONAS,2021-01-21,37948.78
420,AMAZONAS,2021-01-22,35624.56
421,AMAZONAS,2021-01-23,38150.78
422,AMAZONAS,2021-01-25,25011.24
423,AMAZONAS,2021-01-26,33940.92
424,AMAZONAS,2021-01-27,38843.14
425,AMAZONAS,2021-01-28,3872.56
426,AMAZONAS,2021-01-29,4477.05
427,AMAZONAS,2021-01-30,7746.73
428,AMAZONAS,2021-02-01,1678.64
429,AMAZONAS,2021-02-02,15831.27
430,AMAZONAS,2021-02-03,24779.03
431,AMAZONAS,2021-02-04,7626.34
432,AMAZONAS,2021-02-05,18808.16
433,AMAZONAS,2021-02-06,39832.44
434,AMAZONAS,2021-02-08,36639.56
435,AMAZONAS,2021-02-09,45299.1
436,AMAZONAS,2021-02-10,36142.96
437,AMAZONAS,2021-02-11,47445.88
438,AMAZONAS,2021-02-12,38443.9
439,AMAZONAS,2021-02-13,43782.22
440,AMAZONAS,2021-02-14,42529.52
441,AMAZONAS,2021-02-15,40863.73
442,AMAZONAS,2021-02-16,33109.48
443,AMAZONAS,2021-02-17,67678.9
444,AMAZONAS,2021-02-18,38640.14
445,AMAZONAS,2021-02-19,34158.27
446,AMAZONAS,2021-02-20,12089.56
447,AMAZONAS,2021-02-22,34961.77
448,AMAZONAS,2021-02-23,36836.81
449,AMAZONAS,2021-02-24,30375.98
450,AMAZONAS,2021-02-25,44828.09
451,AMAZONAS,2021-02-26,26349.6
452,AMAZONAS,2021-02-27,42349.39
453,AMAZONAS,2021-03-01,20760.43
454,AMAZONAS,2021-03-02,41282.75
455,AMAZONAS,2021-03-03,42361.3
456,AMAZONAS,2021-03-04,20039.95
457,AMAZONAS,2021-03-05,35389.46
458,AMAZONAS,2021-03-06,26922.5
459,AMAZONAS,2021-03-08,43506.56
460,AMAZONAS,2021-03-09,43038.16
461,AMAZONAS,2021-03-10,47396.79
462,AMAZONAS,2021-03-11,20043.72
463,AMAZONAS,2021-03-12,30052.38
464,AMAZONAS,2021-03-13,45475.68
465,AMAZONAS,2021-03-15,12512.96
466,AMAZONAS,2021-03-16,15039.66
467,AMAZONAS,2021-03-17,17295.46
468,AMAZONAS,2021-03-18,33907.22
469,AMAZONAS,2021-03-19,24764.24
470,AMAZONAS,2021-03-20,25979.48
471,AMAZONAS,2021-03-22,50011.95
472,AMAZONAS,2021-03-23,13068.87
473,AMAZONAS,2021-03-24,51645.67
474,AMAZONAS,2021-03-25,39951.67
475,AMAZONAS,2021-03-26,30785.4
476,AMAZONAS,2021-03-27,26222.64
477,AMAZONAS,2021-03-29,34092.73
478,AMAZONAS,2021-03-30,39543.98
479,AMAZONAS,2021-03-31,29750.42
480,AMAZONAS,2021-04-01,46.4
481,AMAZONAS,2021-04-02,189.0
482,AMAZONAS,2021-04-03,21866.16
483,AMAZONAS,2021-04-05,20569.23
484,AMAZONAS,2021-04-06,36489.93
485,AMAZONAS,2021-04-07,61097.55
486,AMAZONAS,2021-04-08,18654.6
487,AMAZONAS,2021-04-09,27673.15
488,AMAZONAS,2021-04-10,24566.16
489,AMAZONAS,2021-04-12,39949.5
490,AMAZONAS,2021-04-13,34055.1
491,AMAZONAS,2021-04-14,48183.06
492,AMAZONAS,2021-04-15,48733.06
493,AMAZONAS,2021-04-16,21870.72
494,AMAZONAS,2021-04-17,1279.9
495,AMAZONAS,2021-04-19,39581.17
496,AMAZONAS,2021-04-20,37856.31
497,AMAZONAS,2021-04-21,31985.63
498,AMAZONAS,2021-04-22,41284.78
499,AMAZONAS,2021-04-23,22317.38
500,AMAZONAS,2021-04-24,29741.36
501,AMAZONAS,2021-04-26,27341.46
502,AMAZONAS,2021-04-27,35323.15
503,AMAZONAS,2021-04-28,33584.14
504,AMAZONAS,2021-04-29,50588.83
505,AMAZONAS,2021-04-30,65177.88
506,AMAZONAS,2021-05-01,3850.48
507,AMAZONAS,2021-05-03,683.3
508,AMAZONAS,2021-05-04,25001.9
509,AMAZONAS,2021-05-05,34333.53
510,AMAZONAS,2021-05-06,15977.32
511,AMAZONAS,2021-05-07,30058.93
512,AMAZONAS,2021-05-08,37403.81
513,AMAZONAS,2021-05-10,41455.88
514,AMAZONAS,2021-05-11,27301.33
515,AMAZONAS,2021-05-12,31756.19
516,AMAZONAS,2021-05-13,35555.76
517,AMAZONAS,2021-05-14,29381.08
518,AMAZONAS,2021-05-15,40464.47
519,AMAZONAS,2021-05-17,25723.46
520,AMAZONAS,2021-05-18,23404.75
521,AMAZONAS,2021-05-19,45105.72
522,AMAZONAS,2021-05-20,12113.19
523,AMAZONAS,2021-05-21,27131.42
524,AMAZONAS,2021-05-22,39119.05
525,AMAZONAS,2021-05-24,37741.42
526,AMAZONAS,2021-05-25,32490.47
527,AMAZONAS,2021-05-26,51865.72
528,AMAZONAS,2021-05-27,38019.5
529,AMAZONAS,2021-05-28,49119.11
530,AMAZONAS,2021-05-29,28323.99
531,AMAZONAS,2021-05-30,28928.07
532,AMAZONAS,2021-05-31,75434.33
533,AMAZONAS,2021-06-01,514.89
534,AMAZONAS,2021-06-02,28502.54
535,AMAZONAS,2021-06-03,13388.42
536,AMAZONAS,2021-06-04,14609.98
537,AMAZONAS,2021-06-05,32238.09
538,AMAZONAS,2021-06-07,31939.42
539,AMAZONAS,2021-06-08,24974.51
540,AMAZONAS,2021-06-09,9322.03
541,AMAZONAS,2021-06-10,24726.96
542,AMAZONAS,2021-06-11,63506.9
543,AMAZONAS,2021-06-12,34322.17
544,AMAZONAS,2021-06-13,12524.0
545,AMAZONAS,2021-06-14,30260.96
546,AMAZONAS,2021-06-15,15233.15
547,AMAZONAS,2021-06-16,35382.79
548,AMAZONAS,2021-06-17,35015.08
549,AMAZONAS,2021-06-18,31722.47
550,AMAZONAS,2021-06-19,34672.62
551,AMAZONAS,2021-06-21,4435.99
552,AMAZONAS,2021-06-22,5939.99
553,ANCASH,2019-09-02,265114.47
554,ANCASH,2019-09-03,158445.69
555,ANCASH,2019-09-04,168932.59
556,ANCASH,2019-09-05,169110.69
557,ANCASH,2019-09-06,205668.5
558,ANCASH,2019-09-07,371995.75
559,ANCASH,2019-09-09,230932.35
560,ANCASH,2019-09-10,294105.99
561,ANCASH,2019-09-11,218929.16
562,ANCASH,2019-09-12,160396.19
563,ANCASH,2019-09-13,199038.47
564,ANCASH,2019-09-14,271439.5
565,ANCASH,2019-09-16,248256.75
566,ANCASH,2019-09-17,225101.83
567,ANCASH,2019-09-18,205029.45
568,ANCASH,2019-09-19,184837.96
569,ANCASH,2019-09-20,185427.09
570,ANCASH,2019-09-21,239307.46
571,ANCASH,2019-09-23,210705.54
572,ANCASH,2019-09-24,223183.26
573,ANCASH,2019-09-25,171093.47
574,ANCASH,2019-09-26,273743.56
575,ANCASH,2019-09-27,288715.62
576,ANCASH,2019-09-28,269794.63
577,ANCASH,2019-09-30,300285.04
578,ANCASH,2019-10-01,157734.58
579,ANCASH,2019-10-02,250774.43
580,ANCASH,2019-10-03,231622.2
581,ANCASH,2019-10-04,241290.57
582,ANCASH,2019-10-05,324195.55
583,ANCASH,2019-10-07,311722.23
584,ANCASH,2019-10-08,161293.45
585,ANCASH,2019-10-09,209268.47
586,ANCASH,2019-10-10,225533.82
587,ANCASH,2019-10-11,156092.44
588,ANCASH,2019-10-12,373792.24
589,ANCASH,2019-10-14,253527.2
590,ANCASH,2019-10-15,282450.18
591,ANCASH,2019-10-16,266227.66
592,ANCASH,2019-10-17,177810.15
593,ANCASH,2019-10-18,196180.76
594,ANCASH,2019-10-19,258583.61
595,ANCASH,2019-10-21,224623.74
596,ANCASH,2019-10-22,271232.36
597,ANCASH,2019-10-23,180671.67
598,ANCASH,2019-10-24,249922.58
599,ANCASH,2019-10-25,239241.94
600,ANCASH,2019-10-26,314148.41
601,ANCASH,2019-10-28,248333.28
602,ANCASH,2019-10-29,238706.27
603,ANCASH,2019-10-30,227913.16
604,ANCASH,2019-10-31,293005.03
605,ANCASH,2019-11-02,151195.13
606,ANCASH,2019-11-04,237208.41
607,ANCASH,2019-11-05,322066.48
608,ANCASH,2019-11-06,251093.3
609,ANCASH,2019-11-07,245989.67
610,ANCASH,2019-11-08,248361.82
611,ANCASH,2019-11-09,357641.75
612,ANCASH,2019-11-11,254089.45
613,ANCASH,2019-11-12,216854.02
614,ANCASH,2019-11-13,206935.74
615,ANCASH,2019-11-14,202607.15
616,ANCASH,2019-11-15,187903.9
617,ANCASH,2019-11-16,264639.68
618,ANCASH,2019-11-18,180666.14
619,ANCASH,2019-11-19,180572.16
620,ANCASH,2019-11-20,269642.25
621,ANCASH,2019-11-21,229904.83
622,ANCASH,2019-11-22,206894.94
623,ANCASH,2019-11-23,276834.42
624,ANCASH,2019-11-25,238307.6
625,ANCASH,2019-11-26,187164.81
626,ANCASH,2019-11-27,169709.79
627,ANCASH,2019-11-28,154726.01
628,ANCASH,2019-11-29,144548.2
629,ANCASH,2019-11-30,362480.36
630,ANCASH,2019-12-02,218057.94
631,ANCASH,2019-12-03,210688.01
632,ANCASH,2019-12-04,166470.16
633,ANCASH,2019-12-05,217145.92
634,ANCASH,2019-12-06,216458.63
635,ANCASH,2019-12-07,329345.43
636,ANCASH,2019-12-09,219778.85
637,ANCASH,2019-12-10,208688.73
638,ANCASH,2019-12-11,264245.68
639,ANCASH,2019-12-12,270605.46
640,ANCASH,2019-12-13,253878.78
641,ANCASH,2019-12-14,309712.85
642,ANCASH,2019-12-16,275379.52
